original_filename,crop_filename,source_class,mapped_class,crop_x1,crop_y1,crop_x2,crop_y2,crop_quality,notes
Leaf Blotch00024.JPG,crop_Leaf Blotch00024.JPG,Leaf Blotch,Blotch,298,220,948,870,high,Targeted single-leaf crop centered on necrotic blotch lesion
Leaf Blotch00025.JPG,crop_Leaf Blotch00025.JPG,Leaf Blotch,Blotch,0,380,620,1000,high,Targeted single-leaf crop centered on necrotic blotch lesion
Leaf Blotch00027.JPG,crop_Leaf Blotch00027.JPG,Leaf Blotch,Blotch,199,130,849,780,high,Targeted single-leaf crop centered on necrotic blotch lesion
Leaf Blotch00040.JPG,crop_Leaf Blotch00040.JPG,Leaf Blotch,Blotch,175,175,825,825,high,Targeted single-leaf crop centered on necrotic blotch lesion
Leaf Blotch00041.JPG,crop_Leaf Blotch00041.JPG,Leaf Blotch,Blotch,212,175,862,825,high,Targeted single-leaf crop centered on necrotic blotch lesion
Leaf Blotch00056.JPG,crop_Leaf Blotch00056.JPG,Leaf Blotch,Blotch,169,175,819,825,high,Targeted single-leaf crop centered on necrotic blotch lesion
Leaf Blotch00057.JPG,crop_Leaf Blotch00057.JPG,Leaf Blotch,Blotch,35,187,685,837,high,Targeted single-leaf crop centered on necrotic blotch lesion
Leaf Blotch00072.JPG,crop_Leaf Blotch00072.JPG,Leaf Blotch,Blotch,163,175,813,825,high,Targeted single-leaf crop centered on necrotic blotch lesion
Leaf Blotch00087.JPG,crop_Leaf Blotch00087.JPG,Leaf Blotch,Blotch,175,175,825,825,high,Targeted single-leaf crop centered on necrotic blotch lesion
Leaf Blotch00088.JPG,crop_Leaf Blotch00088.JPG,Leaf Blotch,Blotch,175,175,825,825,high,Targeted single-leaf crop centered on necrotic blotch lesion
Leaf Blotch00089.JPG,crop_Leaf Blotch00089.JPG,Leaf Blotch,Blotch,15,175,665,825,high,Targeted single-leaf crop centered on necrotic blotch lesion
Leaf Blotch00092.JPG,crop_Leaf Blotch00092.JPG,Leaf Blotch,Blotch,0,263,650,913,high,Targeted single-leaf crop centered on necrotic blotch lesion
Leaf Blotch00098.JPG,crop_Leaf Blotch00098.JPG,Leaf Blotch,Blotch,350,229,1000,879,high,Targeted single-leaf crop centered on necrotic blotch lesion
Leaf Blotch00108.JPG,crop_Leaf Blotch00108.JPG,Leaf Blotch,Blotch,74,175,724,825,high,Targeted single-leaf crop centered on necrotic blotch lesion
Leaf Blotch00109.JPG,crop_Leaf Blotch00109.JPG,Leaf Blotch,Blotch,175,331,825,981,high,Targeted single-leaf crop centered on necrotic blotch lesion
Leaf Blotch00115.JPG,crop_Leaf Blotch00115.JPG,Leaf Blotch,Blotch,96,175,746,825,high,Targeted single-leaf crop centered on necrotic blotch lesion
Leaf Blotch00140.JPG,crop_Leaf Blotch00140.JPG,Leaf Blotch,Blotch,100,175,750,825,high,Targeted single-leaf crop centered on necrotic blotch lesion
Leaf Blotch00151.JPG,crop_Leaf Blotch00151.JPG,Leaf Blotch,Blotch,108,175,758,825,high,Targeted single-leaf crop centered on necrotic blotch lesion
Leaf Blotch00155.JPG,crop_Leaf Blotch00155.JPG,Leaf Blotch,Blotch,0,175,650,825,high,Targeted single-leaf crop centered on necrotic blotch lesion
Leaf Blotch00167.JPG,crop_Leaf Blotch00167.JPG,Leaf Blotch,Blotch,350,187,1000,837,high,Targeted single-leaf crop centered on necrotic blotch lesion
Leaf Blotch00179.JPG,crop_Leaf Blotch00179.JPG,Leaf Blotch,Blotch,111,125,761,775,high,Targeted single-leaf crop centered on necrotic blotch lesion
Leaf Blotch00180.JPG,crop_Leaf Blotch00180.JPG,Leaf Blotch,Blotch,157,175,807,825,high,Targeted single-leaf crop centered on necrotic blotch lesion
Leaf Blotch00184.JPG,crop_Leaf Blotch00184.JPG,Leaf Blotch,Blotch,190,0,840,650,high,Targeted single-leaf crop centered on necrotic blotch lesion
Leaf Blotch00191.JPG,crop_Leaf Blotch00191.JPG,Leaf Blotch,Blotch,350,18,1000,668,high,Targeted single-leaf crop centered on necrotic blotch lesion
