image_index,original_filename,crop_filename,mapped_class,orig_mahalanobis_dist,orig_ood_status,orig_hybrid_pred,orig_hybrid_conf,crop_mahalanobis_dist,crop_ood_status,crop_hybrid_pred,crop_hybrid_conf,crop_eff_pred,crop_eff_conf,crop_mob_pred,crop_mob_conf,crop_final_pred,crop_final_conf,distance_delta,is_accepted_correct,e2e_correct,notes
11,Healthy Leaf00058.JPG,crop_Healthy Leaf00058.JPG,Healthy,77.45,REJECTED,Healthy,80.6,73.56,REJECTED,Healthy,79.7,Healthy,89.8,Healthy,69.6,OOD_REJECTED,0.0,-3.89,,False,Delta DM: -3.89 (77.45 -> 73.56)
12,Healthy Leaf00060.JPG,crop_Healthy Leaf00060.JPG,Healthy,85.07,REJECTED,Healthy,81.7,75.05,REJECTED,Healthy,82.9,Healthy,92.4,Healthy,73.3,OOD_REJECTED,0.0,-10.02,,False,Delta DM: -10.02 (85.07 -> 75.05)
13,Healthy Leaf00063.JPG,crop_Healthy Leaf00063.JPG,Healthy,78.63,REJECTED,Healthy,84.9,76.11,REJECTED,Healthy,83.9,Healthy,87.2,Healthy,80.6,OOD_REJECTED,0.0,-2.52,,False,Delta DM: -2.52 (78.63 -> 76.11)
14,Healthy Leaf00071.JPG,crop_Healthy Leaf00071.JPG,Healthy,79.17,REJECTED,Healthy,78.9,76.12,REJECTED,Healthy,87.6,Healthy,89.8,Healthy,85.4,OOD_REJECTED,0.0,-3.05,,False,Delta DM: -3.05 (79.17 -> 76.12)
15,Healthy Leaf00109.JPG,crop_Healthy Leaf00109.JPG,Healthy,93.67,REJECTED,Healthy,60.8,94.37,REJECTED,Healthy,60.7,Healthy,66.7,Healthy,54.8,OOD_REJECTED,0.0,0.7,,False,Delta DM: +0.70 (93.67 -> 94.37)
16,Healthy Leaf00130.JPG,crop_Healthy Leaf00130.JPG,Healthy,80.32,REJECTED,Healthy,77.4,69.63,REJECTED,Healthy,72.9,Healthy,67.5,Healthy,78.2,OOD_REJECTED,0.0,-10.69,,False,Delta DM: -10.69 (80.32 -> 69.63)
17,Healthy Leaf00140.JPG,crop_Healthy Leaf00140.JPG,Healthy,82.71,REJECTED,Healthy,65.2,79.61,REJECTED,Healthy,66.3,Healthy,69.5,Healthy,63.0,OOD_REJECTED,0.0,-3.1,,False,Delta DM: -3.10 (82.71 -> 79.61)
18,Healthy Leaf00144.JPG,crop_Healthy Leaf00144.JPG,Healthy,86.98,REJECTED,Healthy,60.7,93.71,REJECTED,Healthy,57.3,Healthy,54.0,Healthy,60.6,OOD_REJECTED,0.0,6.73,,False,Delta DM: +6.73 (86.98 -> 93.71)
19,Healthy Leaf00152.JPG,crop_Healthy Leaf00152.JPG,Healthy,78.81,REJECTED,Healthy,79.7,73.11,REJECTED,Healthy,69.4,Healthy,66.2,Healthy,72.6,OOD_REJECTED,0.0,-5.7,,False,Delta DM: -5.70 (78.81 -> 73.11)
20,Healthy Leaf00155.JPG,crop_Healthy Leaf00155.JPG,Healthy,97.16,REJECTED,Healthy,67.0,89.94,REJECTED,Healthy,61.8,Healthy,57.9,Healthy,65.8,OOD_REJECTED,0.0,-7.22,,False,Delta DM: -7.22 (97.16 -> 89.94)
21,Healthy Leaf00164.JPG,crop_Healthy Leaf00164.JPG,Healthy,77.86,REJECTED,Healthy,80.0,76.07,REJECTED,Healthy,76.4,Healthy,71.7,Healthy,81.1,OOD_REJECTED,0.0,-1.79,,False,Delta DM: -1.79 (77.86 -> 76.07)
22,Healthy Leaf00174.JPG,crop_Healthy Leaf00174.JPG,Healthy,99.07,REJECTED,Healthy,79.9,87.65,REJECTED,Healthy,79.1,Healthy,86.9,Healthy,71.4,OOD_REJECTED,0.0,-11.42,,False,Delta DM: -11.42 (99.07 -> 87.65)
23,Healthy Leaf00189.JPG,crop_Healthy Leaf00189.JPG,Healthy,88.11,REJECTED,Healthy,85.2,87.82,REJECTED,Healthy,74.4,Healthy,68.0,Healthy,80.8,OOD_REJECTED,0.0,-0.29,,False,Delta DM: -0.29 (88.11 -> 87.82)
24,Healthy Leaf00190.JPG,crop_Healthy Leaf00190.JPG,Healthy,91.99,REJECTED,Healthy,46.8,82.97,REJECTED,Healthy,41.0,Aphids,31.3,Healthy,50.7,OOD_REJECTED,0.0,-9.02,,False,Delta DM: -9.02 (91.99 -> 82.97)
25,Healthy Leaf00195.JPG,crop_Healthy Leaf00195.JPG,Healthy,95.01,REJECTED,Healthy,71.4,87.67,REJECTED,Healthy,70.3,Healthy,90.0,Healthy,50.6,OOD_REJECTED,0.0,-7.34,,False,Delta DM: -7.34 (95.01 -> 87.67)
26,Leaf Blotch00002.JPG,crop_Leaf Blotch00002.JPG,Blotch,89.43,REJECTED,Healthy,71.2,92.32,REJECTED,Healthy,56.0,Healthy,70.1,Healthy,42.0,OOD_REJECTED,0.0,2.89,,False,Delta DM: +2.89 (89.43 -> 92.32)
27,Leaf Blotch00024.JPG,crop_Leaf Blotch00024.JPG,Blotch,93.1,REJECTED,Healthy,49.6,86.9,REJECTED,Healthy,63.2,Healthy,76.8,Healthy,49.6,OOD_REJECTED,0.0,-6.2,,False,Delta DM: -6.20 (93.1 -> 86.9)
28,Leaf Blotch00025.JPG,crop_Leaf Blotch00025.JPG,Blotch,78.13,REJECTED,Blotch,48.5,75.33,REJECTED,Blotch,62.1,Blotch,85.1,Blotch,39.2,OOD_REJECTED,0.0,-2.8,,False,Delta DM: -2.80 (78.13 -> 75.33)
29,Leaf Blotch00027.JPG,crop_Leaf Blotch00027.JPG,Blotch,78.74,REJECTED,Healthy,58.2,80.94,REJECTED,Blotch,46.5,Blotch,60.2,Healthy,35.9,OOD_REJECTED,0.0,2.2,,False,Delta DM: +2.20 (78.74 -> 80.94)
30,Leaf Blotch00040.JPG,crop_Leaf Blotch00040.JPG,Blotch,86.41,REJECTED,Healthy,44.2,85.05,REJECTED,Healthy,50.2,Healthy,52.3,Healthy,48.2,OOD_REJECTED,0.0,-1.36,,False,Delta DM: -1.36 (86.41 -> 85.05)
31,Leaf Blotch00041.JPG,crop_Leaf Blotch00041.JPG,Blotch,79.21,REJECTED,Blotch,37.2,91.23,REJECTED,Healthy,39.5,Healthy,50.5,Blotch,41.4,OOD_REJECTED,0.0,12.02,,False,Delta DM: +12.02 (79.21 -> 91.23)
32,Leaf Blotch00056.JPG,crop_Leaf Blotch00056.JPG,Blotch,73.08,REJECTED,Healthy,49.5,87.36,REJECTED,Healthy,59.4,Healthy,66.8,Healthy,52.0,OOD_REJECTED,0.0,14.28,,False,Delta DM: +14.28 (73.08 -> 87.36)
33,Leaf Blotch00057.JPG,crop_Leaf Blotch00057.JPG,Blotch,77.13,REJECTED,Healthy,48.9,95.48,REJECTED,Healthy,59.4,Healthy,59.2,Healthy,59.6,OOD_REJECTED,0.0,18.35,,False,Delta DM: +18.35 (77.13 -> 95.48)
34,Leaf Blotch00072.JPG,crop_Leaf Blotch00072.JPG,Blotch,83.0,REJECTED,Healthy,57.2,98.95,REJECTED,Healthy,63.7,Healthy,66.6,Healthy,60.7,OOD_REJECTED,0.0,15.95,,False,Delta DM: +15.95 (83.0 -> 98.95)
35,Leaf Blotch00087.JPG,crop_Leaf Blotch00087.JPG,Blotch,84.8,REJECTED,Healthy,38.4,79.12,REJECTED,Healthy,30.3,Aphids,27.9,Healthy,34.5,OOD_REJECTED,0.0,-5.68,,False,Delta DM: -5.68 (84.8 -> 79.12)
36,Leaf Blotch00088.JPG,crop_Leaf Blotch00088.JPG,Blotch,85.55,REJECTED,Healthy,37.3,87.93,REJECTED,Healthy,32.4,Blotch,28.9,Healthy,38.4,OOD_REJECTED,0.0,2.38,,False,Delta DM: +2.38 (85.55 -> 87.93)
37,Leaf Blotch00089.JPG,crop_Leaf Blotch00089.JPG,Blotch,85.59,REJECTED,Healthy,39.5,93.13,REJECTED,Healthy,42.7,Healthy,41.6,Healthy,43.8,OOD_REJECTED,0.0,7.54,,False,Delta DM: +7.54 (85.59 -> 93.13)
38,Leaf Blotch00092.JPG,crop_Leaf Blotch00092.JPG,Blotch,64.88,REJECTED,Blotch,51.5,78.3,REJECTED,Blotch,42.1,Blotch,55.7,Healthy,33.5,OOD_REJECTED,0.0,13.42,,False,Delta DM: +13.42 (64.88 -> 78.3)
39,Leaf Blotch00098.JPG,crop_Leaf Blotch00098.JPG,Blotch,89.74,REJECTED,Healthy,46.0,91.91,REJECTED,Healthy,46.3,Healthy,51.2,Healthy,41.4,OOD_REJECTED,0.0,2.17,,False,Delta DM: +2.17 (89.74 -> 91.91)
40,Leaf Blotch00108.JPG,crop_Leaf Blotch00108.JPG,Blotch,78.09,REJECTED,Healthy,32.1,81.84,REJECTED,Healthy,30.4,Leaf Spot,33.2,Healthy,37.5,OOD_REJECTED,0.0,3.75,,False,Delta DM: +3.75 (78.09 -> 81.84)
41,Leaf Blotch00109.JPG,crop_Leaf Blotch00109.JPG,Blotch,80.53,REJECTED,Healthy,40.0,88.41,REJECTED,Leaf Spot,29.5,Leaf Spot,37.5,Healthy,36.0,OOD_REJECTED,0.0,7.88,,False,Delta DM: +7.88 (80.53 -> 88.41)
42,Leaf Blotch00115.JPG,crop_Leaf Blotch00115.JPG,Blotch,91.22,REJECTED,Healthy,41.0,95.8,REJECTED,Healthy,43.1,Blotch,36.6,Healthy,54.3,OOD_REJECTED,0.0,4.58,,False,Delta DM: +4.58 (91.22 -> 95.8)
43,Leaf Blotch00140.JPG,crop_Leaf Blotch00140.JPG,Blotch,79.09,REJECTED,Healthy,40.6,83.75,REJECTED,Healthy,47.1,Healthy,48.5,Healthy,45.7,OOD_REJECTED,0.0,4.66,,False,Delta DM: +4.66 (79.09 -> 83.75)
44,Leaf Blotch00151.JPG,crop_Leaf Blotch00151.JPG,Blotch,71.58,REJECTED,Healthy,36.4,79.92,REJECTED,Healthy,37.7,Healthy,39.5,Healthy,36.0,OOD_REJECTED,0.0,8.34,,False,Delta DM: +8.34 (71.58 -> 79.92)
45,Leaf Blotch00155.JPG,crop_Leaf Blotch00155.JPG,Blotch,81.41,REJECTED,Healthy,36.6,82.92,REJECTED,Healthy,33.7,Healthy,35.9,Healthy,31.4,OOD_REJECTED,0.0,1.51,,False,Delta DM: +1.51 (81.41 -> 82.92)
46,Leaf Blotch00167.JPG,crop_Leaf Blotch00167.JPG,Blotch,77.8,REJECTED,Healthy,45.4,90.22,REJECTED,Healthy,58.8,Healthy,65.5,Healthy,52.2,OOD_REJECTED,0.0,12.42,,False,Delta DM: +12.42 (77.8 -> 90.22)
47,Leaf Blotch00179.JPG,crop_Leaf Blotch00179.JPG,Blotch,79.14,REJECTED,Healthy,39.7,89.09,REJECTED,Healthy,38.5,Leaf Spot,30.9,Healthy,47.3,OOD_REJECTED,0.0,9.95,,False,Delta DM: +9.95 (79.14 -> 89.09)
48,Leaf Blotch00180.JPG,crop_Leaf Blotch00180.JPG,Blotch,97.37,REJECTED,Healthy,61.0,100.56,REJECTED,Healthy,53.2,Healthy,42.4,Healthy,64.0,OOD_REJECTED,0.0,3.19,,False,Delta DM: +3.19 (97.37 -> 100.56)
49,Leaf Blotch00184.JPG,crop_Leaf Blotch00184.JPG,Blotch,86.3,REJECTED,Healthy,47.8,81.43,REJECTED,Healthy,39.6,Healthy,35.3,Healthy,44.0,OOD_REJECTED,0.0,-4.87,,False,Delta DM: -4.87 (86.3 -> 81.43)
50,Leaf Blotch00191.JPG,crop_Leaf Blotch00191.JPG,Blotch,88.56,REJECTED,Healthy,41.9,94.98,REJECTED,Healthy,36.0,Healthy,32.8,Healthy,39.1,OOD_REJECTED,0.0,6.42,,False,Delta DM: +6.42 (88.56 -> 94.98)
