filename,source_class,mapped_class,ood_status,mahalanobis_distance,ood_threshold,final_prediction,final_confidence,efficientnet_prediction,efficientnet_confidence,mobilenet_prediction,mobilenet_confidence,raw_hybrid_prediction,raw_hybrid_confidence,is_correct_accepted,e2e_correct
Healthy Leaf00103.JPG,Healthy Leaf,Healthy,REJECTED,79.27,63.1,OOD_REJECTED,0.0,Healthy,65.0,Healthy,58.7,Healthy,61.9,,False
Healthy Leaf00108.JPG,Healthy Leaf,Healthy,REJECTED,89.53,63.1,OOD_REJECTED,0.0,Healthy,86.6,Healthy,78.2,Healthy,82.4,,False
Healthy Leaf00109.JPG,Healthy Leaf,Healthy,REJECTED,93.67,63.1,OOD_REJECTED,0.0,Healthy,63.4,Healthy,58.1,Healthy,60.8,,False
Healthy Leaf00115.JPG,Healthy Leaf,Healthy,REJECTED,80.37,63.1,OOD_REJECTED,0.0,Healthy,66.7,Healthy,48.6,Healthy,57.6,,False
Healthy Leaf00117.JPG,Healthy Leaf,Healthy,REJECTED,83.71,63.1,OOD_REJECTED,0.0,Healthy,57.9,Healthy,48.2,Healthy,53.0,,False
Healthy Leaf00118.JPG,Healthy Leaf,Healthy,REJECTED,83.32,63.1,OOD_REJECTED,0.0,Healthy,81.1,Healthy,76.6,Healthy,78.8,,False
Healthy Leaf00119.JPG,Healthy Leaf,Healthy,REJECTED,73.42,63.1,OOD_REJECTED,0.0,Healthy,85.4,Healthy,75.2,Healthy,80.3,,False
Healthy Leaf00130.JPG,Healthy Leaf,Healthy,REJECTED,80.32,63.1,OOD_REJECTED,0.0,Healthy,80.2,Healthy,74.5,Healthy,77.4,,False
Healthy Leaf00137.JPG,Healthy Leaf,Healthy,REJECTED,86.29,63.1,OOD_REJECTED,0.0,Healthy,42.9,Healthy,61.3,Healthy,52.1,,False
Healthy Leaf00138.JPG,Healthy Leaf,Healthy,REJECTED,85.02,63.1,OOD_REJECTED,0.0,Healthy,57.8,Healthy,56.9,Healthy,57.3,,False
Healthy Leaf00140.JPG,Healthy Leaf,Healthy,REJECTED,82.71,63.1,OOD_REJECTED,0.0,Healthy,64.6,Healthy,65.7,Healthy,65.2,,False
Healthy Leaf00142.JPG,Healthy Leaf,Healthy,REJECTED,104.06,63.1,OOD_REJECTED,0.0,Aphids,52.5,Healthy,56.8,Healthy,44.0,,False
Healthy Leaf00143.JPG,Healthy Leaf,Healthy,REJECTED,86.54,63.1,OOD_REJECTED,0.0,Healthy,35.6,Healthy,64.9,Healthy,50.2,,False
Healthy Leaf00144.JPG,Healthy Leaf,Healthy,REJECTED,86.98,63.1,OOD_REJECTED,0.0,Healthy,55.6,Healthy,65.8,Healthy,60.7,,False
Healthy Leaf00148.JPG,Healthy Leaf,Healthy,REJECTED,82.59,63.1,OOD_REJECTED,0.0,Healthy,68.5,Healthy,78.3,Healthy,73.4,,False
Healthy Leaf00151.JPG,Healthy Leaf,Healthy,REJECTED,77.78,63.1,OOD_REJECTED,0.0,Healthy,94.4,Healthy,72.7,Healthy,83.5,,False
Healthy Leaf00152.JPG,Healthy Leaf,Healthy,REJECTED,78.81,63.1,OOD_REJECTED,0.0,Healthy,82.3,Healthy,77.2,Healthy,79.7,,False
Healthy Leaf00155.JPG,Healthy Leaf,Healthy,REJECTED,97.16,63.1,OOD_REJECTED,0.0,Healthy,68.0,Healthy,66.0,Healthy,67.0,,False
Healthy Leaf00155.JPG,Healthy Leaf,Healthy,REJECTED,97.16,63.1,OOD_REJECTED,0.0,Healthy,68.0,Healthy,66.0,Healthy,67.0,,False
Healthy Leaf00156.JPG,Healthy Leaf,Healthy,REJECTED,79.2,63.1,OOD_REJECTED,0.0,Aphids,40.9,Healthy,76.3,Healthy,57.0,,False
Healthy Leaf00159.JPG,Healthy Leaf,Healthy,REJECTED,81.98,63.1,OOD_REJECTED,0.0,Healthy,46.9,Healthy,68.5,Healthy,57.7,,False
Healthy Leaf00160.JPG,Healthy Leaf,Healthy,REJECTED,83.13,63.1,OOD_REJECTED,0.0,Healthy,54.0,Healthy,69.0,Healthy,61.5,,False
Healthy Leaf00161.JPG,Healthy Leaf,Healthy,REJECTED,88.35,63.1,OOD_REJECTED,0.0,Healthy,74.1,Healthy,63.5,Healthy,68.8,,False
Healthy Leaf00162.JPG,Healthy Leaf,Healthy,REJECTED,80.56,63.1,OOD_REJECTED,0.0,Healthy,73.0,Healthy,82.4,Healthy,77.7,,False
Healthy Leaf00164.JPG,Healthy Leaf,Healthy,REJECTED,77.86,63.1,OOD_REJECTED,0.0,Healthy,81.3,Healthy,78.7,Healthy,80.0,,False
Healthy Leaf00167.JPG,Healthy Leaf,Healthy,REJECTED,84.04,63.1,OOD_REJECTED,0.0,Healthy,67.2,Healthy,57.3,Healthy,62.2,,False
Healthy Leaf00169.JPG,Healthy Leaf,Healthy,REJECTED,90.56,63.1,OOD_REJECTED,0.0,Healthy,52.8,Healthy,67.9,Healthy,60.3,,False
Healthy Leaf00174.JPG,Healthy Leaf,Healthy,REJECTED,99.07,63.1,OOD_REJECTED,0.0,Healthy,89.9,Healthy,69.9,Healthy,79.9,,False
Healthy Leaf00175.JPG,Healthy Leaf,Healthy,REJECTED,84.98,63.1,OOD_REJECTED,0.0,Healthy,83.5,Healthy,79.0,Healthy,81.2,,False
Healthy Leaf00178.JPG,Healthy Leaf,Healthy,REJECTED,91.11,63.1,OOD_REJECTED,0.0,Healthy,60.3,Healthy,63.6,Healthy,62.0,,False
Healthy Leaf00180.JPG,Healthy Leaf,Healthy,REJECTED,94.15,63.1,OOD_REJECTED,0.0,Aphids,51.0,Healthy,58.9,Healthy,48.2,,False
Healthy Leaf00182.JPG,Healthy Leaf,Healthy,REJECTED,82.24,63.1,OOD_REJECTED,0.0,Healthy,36.6,Healthy,66.6,Healthy,51.6,,False
Healthy Leaf00183.JPG,Healthy Leaf,Healthy,REJECTED,82.67,63.1,OOD_REJECTED,0.0,Healthy,46.9,Healthy,64.3,Healthy,55.6,,False
Healthy Leaf00184.JPG,Healthy Leaf,Healthy,REJECTED,99.31,63.1,OOD_REJECTED,0.0,Healthy,75.8,Healthy,62.4,Healthy,69.1,,False
Healthy Leaf00187.JPG,Healthy Leaf,Healthy,REJECTED,89.65,63.1,OOD_REJECTED,0.0,Healthy,66.0,Healthy,62.9,Healthy,64.5,,False
Healthy Leaf00188.JPG,Healthy Leaf,Healthy,REJECTED,101.01,63.1,OOD_REJECTED,0.0,Healthy,89.5,Healthy,70.8,Healthy,80.1,,False
Healthy Leaf00189.JPG,Healthy Leaf,Healthy,REJECTED,88.11,63.1,OOD_REJECTED,0.0,Healthy,89.2,Healthy,81.2,Healthy,85.2,,False
Healthy Leaf00190.JPG,Healthy Leaf,Healthy,REJECTED,91.99,63.1,OOD_REJECTED,0.0,Aphids,40.6,Healthy,68.1,Healthy,46.8,,False
Healthy Leaf00190.JPG,Healthy Leaf,Healthy,REJECTED,91.99,63.1,OOD_REJECTED,0.0,Aphids,40.6,Healthy,68.1,Healthy,46.8,,False
Healthy Leaf00191.JPG,Healthy Leaf,Healthy,REJECTED,79.99,63.1,OOD_REJECTED,0.0,Aphids,42.0,Healthy,54.1,Healthy,47.3,,False
Healthy Leaf00193.JPG,Healthy Leaf,Healthy,REJECTED,101.5,63.1,OOD_REJECTED,0.0,Healthy,76.9,Healthy,53.9,Healthy,65.4,,False
Healthy Leaf00193.JPG,Healthy Leaf,Healthy,REJECTED,101.5,63.1,OOD_REJECTED,0.0,Healthy,76.9,Healthy,53.9,Healthy,65.4,,False
Healthy Leaf00195.JPG,Healthy Leaf,Healthy,REJECTED,95.01,63.1,OOD_REJECTED,0.0,Healthy,83.3,Healthy,59.5,Healthy,71.4,,False
Healthy Leaf00196.JPG,Healthy Leaf,Healthy,REJECTED,90.65,63.1,OOD_REJECTED,0.0,Healthy,51.0,Healthy,52.2,Healthy,51.6,,False
Leaf Blotch00001.JPG,Leaf Blotch,Blotch,REJECTED,81.89,63.1,OOD_REJECTED,0.0,Healthy,49.5,Healthy,63.0,Healthy,56.2,,False
Leaf Blotch00001.JPG,Leaf Blotch,Blotch,REJECTED,81.89,63.1,OOD_REJECTED,0.0,Healthy,49.5,Healthy,63.0,Healthy,56.2,,False
Leaf Blotch00003.JPG,Leaf Blotch,Blotch,REJECTED,73.51,63.1,OOD_REJECTED,0.0,Blotch,80.6,Leaf Spot,53.6,Blotch,55.8,,False
Leaf Blotch00005.JPG,Leaf Blotch,Blotch,REJECTED,79.45,63.1,OOD_REJECTED,0.0,Blotch,56.0,Leaf Spot,52.3,Leaf Spot,47.0,,False
Leaf Blotch00013.JPG,Leaf Blotch,Blotch,REJECTED,81.51,63.1,OOD_REJECTED,0.0,Leaf Spot,48.2,Leaf Spot,48.4,Leaf Spot,48.3,,False
Leaf Blotch00015.JPG,Leaf Blotch,Blotch,REJECTED,73.12,63.1,OOD_REJECTED,0.0,Blotch,64.9,Blotch,47.3,Blotch,56.1,,False
Leaf Blotch00017.JPG,Leaf Blotch,Blotch,REJECTED,87.36,63.1,OOD_REJECTED,0.0,Healthy,66.3,Healthy,75.9,Healthy,71.1,,False
Leaf Blotch00018.JPG,Leaf Blotch,Blotch,REJECTED,80.39,63.1,OOD_REJECTED,0.0,Blotch,50.1,Healthy,28.0,Blotch,38.4,,False
Leaf Blotch00021.JPG,Leaf Blotch,Blotch,REJECTED,85.75,63.1,OOD_REJECTED,0.0,Blotch,61.8,Healthy,34.8,Blotch,47.1,,False
Leaf Blotch00022.JPG,Leaf Blotch,Blotch,REJECTED,76.76,63.1,OOD_REJECTED,0.0,Healthy,32.8,Healthy,53.6,Healthy,43.2,,False
Leaf Blotch00024.JPG,Leaf Blotch,Blotch,REJECTED,93.1,63.1,OOD_REJECTED,0.0,Healthy,49.6,Healthy,49.6,Healthy,49.6,,False
Leaf Blotch00028.JPG,Leaf Blotch,Blotch,REJECTED,93.2,63.1,OOD_REJECTED,0.0,Healthy,50.9,Healthy,67.4,Healthy,59.2,,False
Leaf Blotch00029.JPG,Leaf Blotch,Blotch,REJECTED,95.6,63.1,OOD_REJECTED,0.0,Healthy,48.8,Healthy,61.2,Healthy,55.0,,False
Leaf Blotch00029.JPG,Leaf Blotch,Blotch,REJECTED,95.6,63.1,OOD_REJECTED,0.0,Healthy,48.8,Healthy,61.2,Healthy,55.0,,False
Leaf Blotch00030.JPG,Leaf Blotch,Blotch,REJECTED,77.67,63.1,OOD_REJECTED,0.0,Blotch,53.4,Healthy,39.3,Blotch,39.4,,False
Leaf Blotch00033.JPG,Leaf Blotch,Blotch,REJECTED,89.15,63.1,OOD_REJECTED,0.0,Healthy,55.9,Healthy,58.9,Healthy,57.4,,False
Leaf Blotch00033.JPG,Leaf Blotch,Blotch,REJECTED,89.15,63.1,OOD_REJECTED,0.0,Healthy,55.9,Healthy,58.9,Healthy,57.4,,False
Leaf Blotch00036.JPG,Leaf Blotch,Blotch,REJECTED,82.44,63.1,OOD_REJECTED,0.0,Blotch,45.2,Healthy,51.0,Healthy,47.6,,False
Leaf Blotch00036.JPG,Leaf Blotch,Blotch,REJECTED,82.44,63.1,OOD_REJECTED,0.0,Blotch,45.2,Healthy,51.0,Healthy,47.6,,False
Leaf Blotch00037.JPG,Leaf Blotch,Blotch,REJECTED,78.91,63.1,OOD_REJECTED,0.0,Blotch,53.0,Healthy,36.1,Blotch,38.8,,False
Leaf Blotch00040.JPG,Leaf Blotch,Blotch,REJECTED,86.41,63.1,OOD_REJECTED,0.0,Healthy,40.5,Healthy,47.8,Healthy,44.2,,False
Leaf Blotch00041.JPG,Leaf Blotch,Blotch,REJECTED,79.21,63.1,OOD_REJECTED,0.0,Blotch,37.7,Blotch,36.8,Blotch,37.2,,False
Leaf Blotch00041.JPG,Leaf Blotch,Blotch,REJECTED,79.21,63.1,OOD_REJECTED,0.0,Blotch,37.7,Blotch,36.8,Blotch,37.2,,False
Leaf Blotch00042.JPG,Leaf Blotch,Blotch,REJECTED,72.18,63.1,OOD_REJECTED,0.0,Healthy,35.3,Healthy,38.9,Healthy,37.1,,False
Leaf Blotch00043.JPG,Leaf Blotch,Blotch,REJECTED,85.68,63.1,OOD_REJECTED,0.0,Healthy,43.2,Healthy,57.0,Healthy,50.1,,False
Leaf Blotch00046.JPG,Leaf Blotch,Blotch,REJECTED,81.13,63.1,OOD_REJECTED,0.0,Healthy,58.2,Healthy,58.6,Healthy,58.4,,False
Leaf Blotch00051.JPG,Leaf Blotch,Blotch,REJECTED,75.22,63.1,OOD_REJECTED,0.0,Healthy,60.0,Healthy,69.0,Healthy,64.5,,False
Leaf Blotch00055.JPG,Leaf Blotch,Blotch,REJECTED,86.5,63.1,OOD_REJECTED,0.0,Healthy,48.2,Healthy,51.6,Healthy,49.9,,False
Leaf Blotch00057.JPG,Leaf Blotch,Blotch,REJECTED,77.13,63.1,OOD_REJECTED,0.0,Blotch,42.2,Healthy,60.4,Healthy,48.9,,False
Leaf Blotch00062.JPG,Leaf Blotch,Blotch,REJECTED,80.85,63.1,OOD_REJECTED,0.0,Blotch,34.3,Healthy,45.9,Healthy,37.0,,False
Leaf Blotch00062.JPG,Leaf Blotch,Blotch,REJECTED,80.85,63.1,OOD_REJECTED,0.0,Blotch,34.3,Healthy,45.9,Healthy,37.0,,False
Leaf Blotch00064.JPG,Leaf Blotch,Blotch,REJECTED,87.25,63.1,OOD_REJECTED,0.0,Leaf Spot,30.7,Healthy,49.3,Healthy,36.8,,False
Leaf Blotch00065.JPG,Leaf Blotch,Blotch,REJECTED,75.25,63.1,OOD_REJECTED,0.0,Blotch,49.5,Healthy,38.7,Blotch,41.1,,False
Leaf Blotch00068.JPG,Leaf Blotch,Blotch,REJECTED,77.14,63.1,OOD_REJECTED,0.0,Blotch,66.3,Blotch,29.5,Blotch,47.9,,False
Leaf Blotch00068.JPG,Leaf Blotch,Blotch,REJECTED,77.14,63.1,OOD_REJECTED,0.0,Blotch,66.3,Blotch,29.5,Blotch,47.9,,False
Leaf Blotch00069.JPG,Leaf Blotch,Blotch,REJECTED,82.63,63.1,OOD_REJECTED,0.0,Healthy,52.2,Healthy,36.4,Healthy,44.3,,False
Leaf Blotch00076.JPG,Leaf Blotch,Blotch,REJECTED,77.43,63.1,OOD_REJECTED,0.0,Healthy,34.3,Healthy,62.2,Healthy,48.3,,False
Leaf Blotch00077.JPG,Leaf Blotch,Blotch,REJECTED,80.48,63.1,OOD_REJECTED,0.0,Healthy,51.7,Healthy,49.7,Healthy,50.7,,False
Leaf Blotch00079.JPG,Leaf Blotch,Blotch,REJECTED,81.68,63.1,OOD_REJECTED,0.0,Healthy,39.5,Healthy,47.5,Healthy,43.5,,False
Leaf Blotch00081.JPG,Leaf Blotch,Blotch,REJECTED,80.23,63.1,OOD_REJECTED,0.0,Blotch,70.1,Healthy,44.0,Blotch,47.3,,False
Leaf Blotch00083.JPG,Leaf Blotch,Blotch,REJECTED,83.56,63.1,OOD_REJECTED,0.0,Blotch,33.5,Healthy,35.1,Healthy,28.8,,False
Leaf Blotch00088.JPG,Leaf Blotch,Blotch,REJECTED,85.55,63.1,OOD_REJECTED,0.0,Healthy,38.5,Healthy,36.1,Healthy,37.3,,False
Leaf Blotch00093.JPG,Leaf Blotch,Blotch,REJECTED,84.65,63.1,OOD_REJECTED,0.0,Blotch,35.9,Healthy,38.8,Blotch,30.2,,False
Leaf Blotch00096.JPG,Leaf Blotch,Blotch,REJECTED,90.52,63.1,OOD_REJECTED,0.0,Leaf Spot,37.2,Healthy,39.9,Healthy,29.9,,False
Leaf Blotch00098.JPG,Leaf Blotch,Blotch,REJECTED,89.74,63.1,OOD_REJECTED,0.0,Healthy,43.9,Healthy,48.2,Healthy,46.0,,False
Leaf Blotch00099.JPG,Leaf Blotch,Blotch,REJECTED,77.65,63.1,OOD_REJECTED,0.0,Blotch,44.1,Healthy,39.9,Blotch,35.2,,False
Leaf Blotch00102.JPG,Leaf Blotch,Blotch,REJECTED,70.0,63.1,OOD_REJECTED,0.0,Blotch,59.2,Blotch,34.4,Blotch,46.8,,False
Leaf Blotch00103.JPG,Leaf Blotch,Blotch,REJECTED,81.5,63.1,OOD_REJECTED,0.0,Leaf Spot,34.1,Healthy,33.2,Blotch,30.0,,False
Leaf Blotch00109.JPG,Leaf Blotch,Blotch,REJECTED,80.53,63.1,OOD_REJECTED,0.0,Healthy,39.7,Healthy,40.2,Healthy,40.0,,False
Leaf Blotch00110.JPG,Leaf Blotch,Blotch,REJECTED,78.25,63.1,OOD_REJECTED,0.0,Blotch,39.1,Healthy,55.1,Healthy,46.6,,False
Leaf Blotch00112.JPG,Leaf Blotch,Blotch,REJECTED,81.88,63.1,OOD_REJECTED,0.0,Blotch,51.1,Blotch,40.6,Blotch,45.8,,False
Leaf Blotch00117.JPG,Leaf Blotch,Blotch,REJECTED,78.79,63.1,OOD_REJECTED,0.0,Healthy,40.6,Healthy,50.1,Healthy,45.3,,False
Leaf Blotch00118.JPG,Leaf Blotch,Blotch,REJECTED,96.88,63.1,OOD_REJECTED,0.0,Blotch,41.8,Healthy,49.1,Healthy,45.4,,False
Leaf Blotch00120.JPG,Leaf Blotch,Blotch,REJECTED,85.56,63.1,OOD_REJECTED,0.0,Healthy,56.1,Healthy,52.0,Healthy,54.0,,False
Leaf Blotch00122.JPG,Leaf Blotch,Blotch,REJECTED,84.77,63.1,OOD_REJECTED,0.0,Blotch,35.3,Healthy,37.5,Healthy,33.4,,False
Leaf Blotch00125.JPG,Leaf Blotch,Blotch,REJECTED,82.96,63.1,OOD_REJECTED,0.0,Healthy,53.3,Healthy,39.5,Healthy,46.4,,False
Leaf Blotch00126.JPG,Leaf Blotch,Blotch,REJECTED,94.98,63.1,OOD_REJECTED,0.0,Healthy,65.5,Healthy,39.5,Healthy,52.5,,False
