dataset,relative_path,filename,original_class,standardized_class,split,role
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(2).jpg,aphids_disease_(2).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(193).jpg,aphids_disease_(193).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(219).jpg,aphids_disease_(219).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(73).jpg,aphids_disease_(73).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(153).jpg,aphids_disease_(153).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(110).jpg,aphids_disease_(110).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(139).jpg,aphids_disease_(139).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(113).jpg,aphids_disease_(113).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(91).jpg,aphids_disease_(91).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(48).jpg,aphids_disease_(48).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(125).jpg,aphids_disease_(125).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(92).jpg,aphids_disease_(92).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(118).jpg,aphids_disease_(118).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(202).jpg,aphids_disease_(202).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(176).jpg,aphids_disease_(176).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(126).jpg,aphids_disease_(126).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(77).jpg,aphids_disease_(77).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(9).jpg,aphids_disease_(9).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(102).jpg,aphids_disease_(102).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(137).jpg,aphids_disease_(137).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(141).jpg,aphids_disease_(141).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(103).jpg,aphids_disease_(103).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(218).jpg,aphids_disease_(218).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(101).jpg,aphids_disease_(101).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(112).jpg,aphids_disease_(112).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(93).jpg,aphids_disease_(93).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(22).jpg,aphids_disease_(22).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(83).jpg,aphids_disease_(83).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(45).jpg,aphids_disease_(45).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(195).jpg,aphids_disease_(195).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(17).jpg,aphids_disease_(17).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(217).jpg,aphids_disease_(217).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(30).jpg,aphids_disease_(30).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(157).jpg,aphids_disease_(157).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(206).jpg,aphids_disease_(206).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(108).jpg,aphids_disease_(108).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(172).jpg,aphids_disease_(172).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(58).jpg,aphids_disease_(58).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(107).jpg,aphids_disease_(107).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(11).jpg,aphids_disease_(11).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(133).jpg,aphids_disease_(133).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(74).jpg,aphids_disease_(74).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(154).jpg,aphids_disease_(154).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(46).jpg,aphids_disease_(46).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(54).jpg,aphids_disease_(54).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(207).jpg,aphids_disease_(207).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(165).jpg,aphids_disease_(165).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(28).jpg,aphids_disease_(28).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(159).jpg,aphids_disease_(159).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(169).jpg,aphids_disease_(169).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(87).jpg,aphids_disease_(87).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(191).jpg,aphids_disease_(191).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(1).jpg,aphids_disease_(1).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(199).jpg,aphids_disease_(199).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(6).jpg,aphids_disease_(6).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(75).jpg,aphids_disease_(75).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(132).jpg,aphids_disease_(132).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(188).jpg,aphids_disease_(188).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(24).jpg,aphids_disease_(24).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(21).jpg,aphids_disease_(21).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(212).jpg,aphids_disease_(212).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(18).jpg,aphids_disease_(18).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(67).jpg,aphids_disease_(67).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(95).jpg,aphids_disease_(95).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(128).jpg,aphids_disease_(128).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(52).jpg,aphids_disease_(52).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(69).jpg,aphids_disease_(69).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(175).jpg,aphids_disease_(175).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(142).jpg,aphids_disease_(142).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(40).jpg,aphids_disease_(40).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(209).jpg,aphids_disease_(209).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(168).jpg,aphids_disease_(168).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(189).jpg,aphids_disease_(189).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(86).jpg,aphids_disease_(86).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(171).jpg,aphids_disease_(171).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(116).jpg,aphids_disease_(116).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(8).jpg,aphids_disease_(8).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(78).jpg,aphids_disease_(78).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(53).jpg,aphids_disease_(53).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(200).jpg,aphids_disease_(200).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(158).jpg,aphids_disease_(158).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(71).jpg,aphids_disease_(71).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(98).jpg,aphids_disease_(98).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(140).jpg,aphids_disease_(140).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(210).jpg,aphids_disease_(210).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(19).jpg,aphids_disease_(19).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(148).jpg,aphids_disease_(148).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(37).jpg,aphids_disease_(37).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(194).jpg,aphids_disease_(194).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(64).jpg,aphids_disease_(64).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(26).jpg,aphids_disease_(26).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(41).jpg,aphids_disease_(41).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(185).jpg,aphids_disease_(185).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(49).jpg,aphids_disease_(49).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(4).jpg,aphids_disease_(4).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(129).jpg,aphids_disease_(129).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(72).jpg,aphids_disease_(72).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(214).jpg,aphids_disease_(214).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(173).jpg,aphids_disease_(173).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(76).jpg,aphids_disease_(76).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(156).jpg,aphids_disease_(156).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(216).jpg,aphids_disease_(216).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(208).jpg,aphids_disease_(208).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(211).jpg,aphids_disease_(211).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(55).jpg,aphids_disease_(55).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(20).jpg,aphids_disease_(20).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(164).jpg,aphids_disease_(164).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(31).jpg,aphids_disease_(31).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(123).jpg,aphids_disease_(123).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(213).jpg,aphids_disease_(213).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(13).jpg,aphids_disease_(13).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(145).jpg,aphids_disease_(145).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(66).jpg,aphids_disease_(66).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(192).jpg,aphids_disease_(192).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(84).jpg,aphids_disease_(84).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(38).jpg,aphids_disease_(38).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(111).jpg,aphids_disease_(111).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(174).jpg,aphids_disease_(174).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(89).jpg,aphids_disease_(89).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(161).jpg,aphids_disease_(161).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(33).jpg,aphids_disease_(33).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(205).jpg,aphids_disease_(205).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(3).jpg,aphids_disease_(3).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(94).jpg,aphids_disease_(94).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(221).jpg,aphids_disease_(221).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(138).jpg,aphids_disease_(138).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(115).jpg,aphids_disease_(115).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(160).jpg,aphids_disease_(160).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(147).jpg,aphids_disease_(147).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(180).jpg,aphids_disease_(180).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(184).jpg,aphids_disease_(184).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(136).jpg,aphids_disease_(136).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(183).jpg,aphids_disease_(183).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(203).jpg,aphids_disease_(203).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(62).jpg,aphids_disease_(62).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(57).jpg,aphids_disease_(57).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(121).jpg,aphids_disease_(121).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(80).jpg,aphids_disease_(80).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(99).jpg,aphids_disease_(99).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(166).jpg,aphids_disease_(166).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(151).jpg,aphids_disease_(151).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(51).jpg,aphids_disease_(51).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(114).jpg,aphids_disease_(114).jpg,Aphids_Disease,Aphids_Disease,val,hyperparameter_tuning_checkpointing
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(143).jpg,aphids_disease_(143).jpg,Aphids_Disease,Aphids_Disease,val,hyperparameter_tuning_checkpointing
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(32).jpg,aphids_disease_(32).jpg,Aphids_Disease,Aphids_Disease,val,hyperparameter_tuning_checkpointing
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(182).jpg,aphids_disease_(182).jpg,Aphids_Disease,Aphids_Disease,val,hyperparameter_tuning_checkpointing
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(42).jpg,aphids_disease_(42).jpg,Aphids_Disease,Aphids_Disease,val,hyperparameter_tuning_checkpointing
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(44).jpg,aphids_disease_(44).jpg,Aphids_Disease,Aphids_Disease,val,hyperparameter_tuning_checkpointing
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(167).jpg,aphids_disease_(167).jpg,Aphids_Disease,Aphids_Disease,val,hyperparameter_tuning_checkpointing
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(27).jpg,aphids_disease_(27).jpg,Aphids_Disease,Aphids_Disease,val,hyperparameter_tuning_checkpointing
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(117).jpg,aphids_disease_(117).jpg,Aphids_Disease,Aphids_Disease,val,hyperparameter_tuning_checkpointing
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(186).jpg,aphids_disease_(186).jpg,Aphids_Disease,Aphids_Disease,val,hyperparameter_tuning_checkpointing
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(127).jpg,aphids_disease_(127).jpg,Aphids_Disease,Aphids_Disease,val,hyperparameter_tuning_checkpointing
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(23).jpg,aphids_disease_(23).jpg,Aphids_Disease,Aphids_Disease,val,hyperparameter_tuning_checkpointing
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(204).jpg,aphids_disease_(204).jpg,Aphids_Disease,Aphids_Disease,val,hyperparameter_tuning_checkpointing
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(109).jpg,aphids_disease_(109).jpg,Aphids_Disease,Aphids_Disease,val,hyperparameter_tuning_checkpointing
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(16).jpg,aphids_disease_(16).jpg,Aphids_Disease,Aphids_Disease,val,hyperparameter_tuning_checkpointing
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(79).jpg,aphids_disease_(79).jpg,Aphids_Disease,Aphids_Disease,val,hyperparameter_tuning_checkpointing
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(179).jpg,aphids_disease_(179).jpg,Aphids_Disease,Aphids_Disease,val,hyperparameter_tuning_checkpointing
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(181).jpg,aphids_disease_(181).jpg,Aphids_Disease,Aphids_Disease,val,hyperparameter_tuning_checkpointing
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(120).jpg,aphids_disease_(120).jpg,Aphids_Disease,Aphids_Disease,val,hyperparameter_tuning_checkpointing
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(187).jpg,aphids_disease_(187).jpg,Aphids_Disease,Aphids_Disease,val,hyperparameter_tuning_checkpointing
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(82).jpg,aphids_disease_(82).jpg,Aphids_Disease,Aphids_Disease,val,hyperparameter_tuning_checkpointing
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(90).jpg,aphids_disease_(90).jpg,Aphids_Disease,Aphids_Disease,val,hyperparameter_tuning_checkpointing
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(177).jpg,aphids_disease_(177).jpg,Aphids_Disease,Aphids_Disease,val,hyperparameter_tuning_checkpointing
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(81).jpg,aphids_disease_(81).jpg,Aphids_Disease,Aphids_Disease,val,hyperparameter_tuning_checkpointing
