sample_id,dataset_source,filename,relative_path,label,binary_target,subcategory,split,role,md5_hash,file_size_bytes
DS01_TR_aphids_disease_(170).jpg,Dataset_01_Clean,aphids_disease_(170).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(170).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,17ae789a886d470644aea7d795d26ed7,3903994
DS01_TR_aphids_disease_(43).jpg,Dataset_01_Clean,aphids_disease_(43).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(43).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,aa30d1592024dc155dca3905fdebff56,3541305
DS01_TR_aphids_disease_(198).jpg,Dataset_01_Clean,aphids_disease_(198).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(198).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,045ed4c477757cb2f6783d9ad27233f5,3733032
DS01_TR_aphids_disease_(2).jpg,Dataset_01_Clean,aphids_disease_(2).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(2).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,f8951ec3f3b269f044bf8a78a95b0a38,3643995
DS01_TR_aphids_disease_(193).jpg,Dataset_01_Clean,aphids_disease_(193).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(193).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,34d83bb1a4782b61eda4b497e8191bac,3959976
DS01_TR_aphids_disease_(219).jpg,Dataset_01_Clean,aphids_disease_(219).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(219).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,8b0354d7d31085c7593e7dd7572090a7,3943785
DS01_TR_aphids_disease_(73).jpg,Dataset_01_Clean,aphids_disease_(73).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(73).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,ccd22f92a0877dc02dfef5ddf2c0a49b,3680335
DS01_TR_aphids_disease_(153).jpg,Dataset_01_Clean,aphids_disease_(153).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(153).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,75e09748a131b9b6e10da130a307a67c,4022732
DS01_TR_aphids_disease_(110).jpg,Dataset_01_Clean,aphids_disease_(110).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(110).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,dddde70b0a82d602837d5f4d0f14ee23,3844933
DS01_TR_aphids_disease_(139).jpg,Dataset_01_Clean,aphids_disease_(139).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(139).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,20026e6c801210ac42ccbba40c2b90f2,4048540
DS01_TR_aphids_disease_(113).jpg,Dataset_01_Clean,aphids_disease_(113).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(113).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,480f068532dbe232ed3998a460484882,3784935
DS01_TR_aphids_disease_(91).jpg,Dataset_01_Clean,aphids_disease_(91).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(91).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,c03fc5802acadf13d4c078e39bbe6836,3618108
DS01_TR_aphids_disease_(48).jpg,Dataset_01_Clean,aphids_disease_(48).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(48).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,92544a723985a5e7e56116654bdbea98,3694426
DS01_TR_aphids_disease_(125).jpg,Dataset_01_Clean,aphids_disease_(125).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(125).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,699bd3cfa0cbde93b40e052f346dfec5,3754015
DS01_TR_aphids_disease_(92).jpg,Dataset_01_Clean,aphids_disease_(92).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(92).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,84b165411ad72da57aed7b43521103dd,3735971
DS01_TR_aphids_disease_(118).jpg,Dataset_01_Clean,aphids_disease_(118).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(118).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,98e1317a0771b47fe49274e73625942f,3963406
DS01_TR_aphids_disease_(202).jpg,Dataset_01_Clean,aphids_disease_(202).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(202).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,2d25792e3574b37f910d6f18fa0d0eb3,3876892
DS01_TR_aphids_disease_(176).jpg,Dataset_01_Clean,aphids_disease_(176).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(176).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,2d4c7762e62efb3278fa9c1199867703,3721996
DS01_TR_aphids_disease_(126).jpg,Dataset_01_Clean,aphids_disease_(126).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(126).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,8281ff8de11c4678b93c444fc90f7afe,3797657
DS01_TR_aphids_disease_(77).jpg,Dataset_01_Clean,aphids_disease_(77).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(77).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,d1b15f7db148fc7b15f588dc8bb5e667,3929788
DS01_TR_aphids_disease_(9).jpg,Dataset_01_Clean,aphids_disease_(9).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(9).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,7f33c3156dd9ac5e2459c562ffc0a4d1,3572793
DS01_TR_aphids_disease_(102).jpg,Dataset_01_Clean,aphids_disease_(102).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(102).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,543c42ffda654974a80868e7b32abe8a,3776811
DS01_TR_aphids_disease_(137).jpg,Dataset_01_Clean,aphids_disease_(137).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(137).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,599aaca2d88d3dcd7ee9a8b504c33ea8,4002759
DS01_TR_aphids_disease_(141).jpg,Dataset_01_Clean,aphids_disease_(141).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(141).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,4e44a1c2056a0283e86ab1ae9da4d708,3955714
DS01_TR_aphids_disease_(103).jpg,Dataset_01_Clean,aphids_disease_(103).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(103).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,aa7e45e42afeef0e3dac5631a80ff200,3764843
DS01_TR_aphids_disease_(218).jpg,Dataset_01_Clean,aphids_disease_(218).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(218).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,48341f6c86f180b3223571bfb0c06621,3960607
DS01_TR_aphids_disease_(101).jpg,Dataset_01_Clean,aphids_disease_(101).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(101).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,ee122adaa9ff5efb4ff4e1723ffeea59,3710009
DS01_TR_aphids_disease_(112).jpg,Dataset_01_Clean,aphids_disease_(112).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(112).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,3eb98c194374723242f522b40d2e2e28,3682909
DS01_TR_aphids_disease_(93).jpg,Dataset_01_Clean,aphids_disease_(93).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(93).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,814797e4d5cd9abddd9004483d4c4136,3755526
DS01_TR_aphids_disease_(22).jpg,Dataset_01_Clean,aphids_disease_(22).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(22).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,a5783c634b628692d915013406856ca4,3425628
DS01_TR_aphids_disease_(83).jpg,Dataset_01_Clean,aphids_disease_(83).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(83).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,22c9d3307d22b677dc47b98b97c18d48,3974457
DS01_TR_aphids_disease_(45).jpg,Dataset_01_Clean,aphids_disease_(45).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(45).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,88c136fba2a06924b7c002cebd533dc3,3556012
DS01_TR_aphids_disease_(195).jpg,Dataset_01_Clean,aphids_disease_(195).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(195).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,91b4913d60ca37a3ed8fb35a8c3f14e3,3869746
DS01_TR_aphids_disease_(17).jpg,Dataset_01_Clean,aphids_disease_(17).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(17).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,463b20b30d62631d70a3583d1ceb0858,3720533
DS01_TR_aphids_disease_(217).jpg,Dataset_01_Clean,aphids_disease_(217).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(217).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,c77cdc7294c299faab6caf2f4085371e,3818123
DS01_TR_aphids_disease_(30).jpg,Dataset_01_Clean,aphids_disease_(30).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(30).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,87179297c430937389f5b3911dc6d1ab,181216
DS01_TR_aphids_disease_(157).jpg,Dataset_01_Clean,aphids_disease_(157).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(157).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,6ce51f23294ca2563cac36df7a30b223,3967008
DS01_TR_aphids_disease_(206).jpg,Dataset_01_Clean,aphids_disease_(206).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(206).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,73b3d512edab48f1edc3348458296567,3910607
DS01_TR_aphids_disease_(108).jpg,Dataset_01_Clean,aphids_disease_(108).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(108).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,4cc475c0d5c6d923bbc4410892d5ecb8,3811464
DS01_TR_aphids_disease_(172).jpg,Dataset_01_Clean,aphids_disease_(172).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(172).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,f8f330c9343b46604a54fcce6de780e2,3838183
DS01_TR_aphids_disease_(58).jpg,Dataset_01_Clean,aphids_disease_(58).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(58).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,ad17fff76e8f4a801730f1957ac94f62,3738014
DS01_TR_aphids_disease_(107).jpg,Dataset_01_Clean,aphids_disease_(107).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(107).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,6292421e4a0fc57179cbf516e7da162b,3994500
DS01_TR_aphids_disease_(11).jpg,Dataset_01_Clean,aphids_disease_(11).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(11).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,436ad4f6a920408ab9d751d6a31c0143,3826154
DS01_TR_aphids_disease_(133).jpg,Dataset_01_Clean,aphids_disease_(133).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(133).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,4408a563b24acf835c8ae4c9e056961f,3685948
DS01_TR_aphids_disease_(74).jpg,Dataset_01_Clean,aphids_disease_(74).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(74).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,bb69b83b16d851a2a3d19e2c148a6f0e,3848457
DS01_TR_aphids_disease_(154).jpg,Dataset_01_Clean,aphids_disease_(154).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(154).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,0164ecbf0a9cc42db19832f7a850d13f,4259069
DS01_TR_aphids_disease_(46).jpg,Dataset_01_Clean,aphids_disease_(46).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(46).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,084fa917fa7ef3f63f7902e3aead06ac,3766535
DS01_TR_aphids_disease_(54).jpg,Dataset_01_Clean,aphids_disease_(54).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(54).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,93f48c38a741c731573e6b371e749112,3828812
DS01_TR_aphids_disease_(207).jpg,Dataset_01_Clean,aphids_disease_(207).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(207).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,67f8955e75510c38220105981c49854e,3704350
DS01_TR_aphids_disease_(165).jpg,Dataset_01_Clean,aphids_disease_(165).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(165).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,98a69fd51b978934fa4454b1d3cb497e,3847560
DS01_TR_aphids_disease_(28).jpg,Dataset_01_Clean,aphids_disease_(28).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(28).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,ff710b3841b0be24fc9d45f1c1223640,3814555
DS01_TR_aphids_disease_(159).jpg,Dataset_01_Clean,aphids_disease_(159).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(159).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,7318060c37d2ed59b93ce4e06159a7f2,4089143
DS01_TR_aphids_disease_(169).jpg,Dataset_01_Clean,aphids_disease_(169).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(169).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,fe6340e14daeb92bd1ff29245f4f0c5c,3901054
DS01_TR_aphids_disease_(87).jpg,Dataset_01_Clean,aphids_disease_(87).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(87).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,495ef3ff5d2f07195fec7e00c1c85223,3616279
DS01_TR_aphids_disease_(191).jpg,Dataset_01_Clean,aphids_disease_(191).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(191).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,27c62b318298cf6fd320ae96de433852,3677729
DS01_TR_aphids_disease_(1).jpg,Dataset_01_Clean,aphids_disease_(1).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(1).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,9a2d4b1b8743044fe2e66ba7597d89d7,3664345
DS01_TR_aphids_disease_(199).jpg,Dataset_01_Clean,aphids_disease_(199).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(199).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,26a45975e35c7f4968554ec58558a8d2,3958534
DS01_TR_aphids_disease_(6).jpg,Dataset_01_Clean,aphids_disease_(6).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(6).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,d39f5cf8afc877a9cbf1dfa89f63e5ef,3639764
DS01_TR_aphids_disease_(75).jpg,Dataset_01_Clean,aphids_disease_(75).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(75).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,6cbd72e33ac837a6541e2a99e6465cff,3879063
DS01_TR_aphids_disease_(132).jpg,Dataset_01_Clean,aphids_disease_(132).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(132).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,ea6753d25d2ab8a05ee40d16dc9a68d0,3717769
DS01_TR_aphids_disease_(188).jpg,Dataset_01_Clean,aphids_disease_(188).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(188).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,df24f26a9867520d76b281a10d83180f,3590166
DS01_TR_aphids_disease_(24).jpg,Dataset_01_Clean,aphids_disease_(24).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(24).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,bb13aba3438cb16ad17c49827f303409,3506609
DS01_TR_aphids_disease_(21).jpg,Dataset_01_Clean,aphids_disease_(21).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(21).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,f419dc491f943b4fd80225ee30e28610,3492494
DS01_TR_aphids_disease_(212).jpg,Dataset_01_Clean,aphids_disease_(212).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(212).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,fb9f9f7385da2b8088b443bea458e460,3693654
DS01_TR_aphids_disease_(18).jpg,Dataset_01_Clean,aphids_disease_(18).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(18).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,3fcc1637d47f365208fc481bea8fab1a,3809024
DS01_TR_aphids_disease_(67).jpg,Dataset_01_Clean,aphids_disease_(67).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(67).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,e6d0fa1bef139ee927d5b58b1a1c6bdc,3917103
DS01_TR_aphids_disease_(95).jpg,Dataset_01_Clean,aphids_disease_(95).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(95).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,37becc9c77bbb2d30715fbc4198c8bee,3761387
DS01_TR_aphids_disease_(128).jpg,Dataset_01_Clean,aphids_disease_(128).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(128).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,817e5a792af4631a630e82842e4b1fd2,4180334
DS01_TR_aphids_disease_(52).jpg,Dataset_01_Clean,aphids_disease_(52).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(52).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,605360bccb57d9a6533253aa30b0fa13,4037126
DS01_TR_aphids_disease_(69).jpg,Dataset_01_Clean,aphids_disease_(69).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(69).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,959890ea22c64eb4a57b5958751cb8d6,3815697
DS01_TR_aphids_disease_(175).jpg,Dataset_01_Clean,aphids_disease_(175).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(175).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,3793807c624503f09503dcea7566f842,3810814
DS01_TR_aphids_disease_(142).jpg,Dataset_01_Clean,aphids_disease_(142).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(142).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,73c3f63aa8da7ce56e930129b7ae6ce7,3695635
DS01_TR_aphids_disease_(40).jpg,Dataset_01_Clean,aphids_disease_(40).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(40).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,bbb0888e12baf932365027cb1cef29c5,3776424
DS01_TR_aphids_disease_(209).jpg,Dataset_01_Clean,aphids_disease_(209).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(209).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,432b576db4d0bb50f979785bfa0fa4bc,3904508
DS01_TR_aphids_disease_(168).jpg,Dataset_01_Clean,aphids_disease_(168).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(168).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,4158f1bda4332e35f29c4d81ff4232de,3836887
DS01_TR_aphids_disease_(189).jpg,Dataset_01_Clean,aphids_disease_(189).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(189).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,04fe58cbb35494479d874db76144f927,3583160
DS01_TR_aphids_disease_(86).jpg,Dataset_01_Clean,aphids_disease_(86).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(86).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,849f49acab104e425f0d30c4897b95b4,3787698
DS01_TR_aphids_disease_(171).jpg,Dataset_01_Clean,aphids_disease_(171).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(171).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,883cf95afcb2868ddc8fc0e3f3d28cc0,3843667
DS01_TR_aphids_disease_(116).jpg,Dataset_01_Clean,aphids_disease_(116).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(116).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,c9ed746470aed05a233f15888ecab59c,3862437
DS01_TR_aphids_disease_(8).jpg,Dataset_01_Clean,aphids_disease_(8).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(8).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,e0598b1b2f8b10572ccbaa2e199d1086,3585015
DS01_TR_aphids_disease_(78).jpg,Dataset_01_Clean,aphids_disease_(78).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(78).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,b0a81c158ed85c44a6c52f3c58018b93,3963208
DS01_TR_aphids_disease_(53).jpg,Dataset_01_Clean,aphids_disease_(53).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(53).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,d987d2d9d167fcdf141271a224183211,3834710
DS01_TR_aphids_disease_(200).jpg,Dataset_01_Clean,aphids_disease_(200).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(200).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,7c8cdbbf0f4d647280cbed56b981708e,3786067
DS01_TR_aphids_disease_(158).jpg,Dataset_01_Clean,aphids_disease_(158).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(158).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,596cf3ce632cbf763a34770dc513d4fe,3995837
