image,source_class,mapped_class,image_type,evaluation_eligibility,exclusion_reason
Healthy Leaf00013.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00013.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00014.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00014.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00015.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00015.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00016.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00016.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00017.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00017.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00018.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00018.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00019.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00019.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00020.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00020.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00021.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00021.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00022.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00022.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00023.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00023.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00024.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00024.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00025.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00025.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00026.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00026.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00027.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00027.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00028.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00028.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00029.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00029.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00030.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00030.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00031.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00031.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00032.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00032.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00033.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00033.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00034.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00034.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00035.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00035.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00036.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00036.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00037.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00037.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00038.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00038.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00039.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00039.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00040.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00040.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00041.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00041.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00042.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00042.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00043.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00043.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00044.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00044.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00045.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00045.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00046.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00046.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00047.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00047.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00048.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00048.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00049.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00049.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00050.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00050.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00051.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00051.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00052.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00052.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00053.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00053.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00054.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00054.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00055.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00055.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00056.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00056.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00057.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00057.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00058.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00058.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00059.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00059.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00060.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00060.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00061.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00061.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00062.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00062.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00063.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00063.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00064.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00064.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00065.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00065.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00066.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00066.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00067.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00067.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00068.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00068.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00069.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00069.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00070.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00070.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00071.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00071.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00072.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00072.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00073.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00073.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00074.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00074.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00075.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00075.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00076.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00076.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00077.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00077.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00078.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00078.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00079.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00079.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00080.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00080.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00081.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00081.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00082.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00082.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00083.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00083.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00084.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00084.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00085.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00085.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00086.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00086.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00087.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00087.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00088.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00088.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00089.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00089.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00090.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00090.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00091.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00091.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00092.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00092.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00093.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00093.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00094.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00094.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00095.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00095.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00096.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00096.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00097.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00097.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00098.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00098.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00099.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00099.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00100.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00100.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00101.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00101.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00102.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00102.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00103.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00103.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00104.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00104.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00105.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00105.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00106.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00106.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00107.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00107.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00108.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00108.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00109.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00109.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00110.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00110.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00111.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00111.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00112.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00112.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00113.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00113.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00114.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00114.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00115.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00115.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00116.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00116.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00117.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00117.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00118.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00118.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00119.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00119.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00120.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00120.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00121.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00121.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00122.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00122.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00123.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00123.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00124.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00124.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00125.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00125.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00126.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00126.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00127.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00127.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00128.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00128.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00129.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00129.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00130.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00130.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00131.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00131.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00132.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00132.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00133.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00133.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00134.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00134.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00135.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00135.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00136.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00136.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00137.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00137.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00138.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00138.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00139.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00139.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00140.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00140.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00141.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00141.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00142.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00142.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00143.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00143.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00144.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00144.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00145.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00145.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
