candidate_id,filename,candidate_source,source_category,ground_truth_class,ground_truth_status,used_in_training,training_hash_overlap,previous_experiment,suitability_for_calibration,image_dimensions,file_size_kb,stage1_verifier_score,stage1_status,mahalanobis_distance,ood_threshold,current_ood_status,ungated_diagnosis,ungated_confidence_pct,sha256,md5
CAL-CAND-011,crop_Healthy Leaf00058.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Healthy,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,680x680,185.82,0.9999,PASS,74.23,63.1,OOD_REJECTED,Healthy,79.35,23e1be769891a8a6a97be75aa9a1c6a3987f6895effe04fb64aec2b6f7b44537,c2e76b9fe36c8f4ebdbdfb45daf69f29
CAL-CAND-012,crop_Healthy Leaf00060.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Healthy,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,680x680,168.11,1.0,PASS,74.85,63.1,OOD_REJECTED,Healthy,82.89,408359ecc0aa4e34a294dbfac988e1f6a28c2b2eef7d833f2b45623ce8d3c57b,11aefeaf9a7d3fc8f1381dfa8a3f195e
CAL-CAND-013,crop_Healthy Leaf00063.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Healthy,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,680x680,193.65,0.9996,PASS,76.01,63.1,OOD_REJECTED,Healthy,83.84,ba5d21fde4fb27b4eaf7606d749d7877be62133cea810c54a716e25ca2b47754,add6f8d1e95310476d085a47f4ab0783
CAL-CAND-014,crop_Healthy Leaf00071.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Healthy,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,680x680,172.86,1.0,PASS,77.47,63.1,OOD_REJECTED,Healthy,87.91,c8992974cf653dc33e28d13d71a42ccdd6c1a9db3d2015664a6c6c88f41bf759,9fe303eeedd2767acd6fe2bf94cec1df
CAL-CAND-015,crop_Healthy Leaf00109.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Healthy,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,680x680,177.59,0.9775,PASS,94.08,63.1,OOD_REJECTED,Healthy,60.38,6d8c4cadcdb1d175b4c5162a1b7f4704fec03d925f8e85031bf745b91f385cc7,65d2f87c21f8a4ab0fa82ab0dc3ee1b0
CAL-CAND-016,crop_Healthy Leaf00130.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Healthy,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,680x680,204.0,0.9995,PASS,70.29,63.1,OOD_REJECTED,Healthy,73.49,9ae387ce9ae1050188bef69bee85df20904a63f27ce1f7164e113680827c02b1,6ccdc6858ace9db103a6a5fd4182c0a4
CAL-CAND-017,crop_Healthy Leaf00140.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Healthy,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,680x680,152.24,0.9997,PASS,79.21,63.1,OOD_REJECTED,Healthy,66.25,2c40d52c08b37fd5b61ae47d4110552764e3077649cc35144844c8fe82411d13,2528802bf6cb19281870053b25d8a90d
CAL-CAND-018,crop_Healthy Leaf00144.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Healthy,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,680x680,193.98,0.9996,PASS,94.82,63.1,OOD_REJECTED,Healthy,57.83,80559a1fbba79e3a2d12ab4520899a6199d5e1805fa5c2e83387ae5c3283ecf5,f2ac59bb131e71b33391fe986bc06dec
CAL-CAND-019,crop_Healthy Leaf00152.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Healthy,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,680x680,201.43,0.9998,PASS,73.66,63.1,OOD_REJECTED,Healthy,69.31,300f39b6090251c6fcc1f119ef6b8f754f0ac1776794c727803b4ccc8d97ba22,55a0338511dd5a0f7d216fc6df64af8e
CAL-CAND-020,crop_Healthy Leaf00155.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Healthy,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,680x680,170.23,0.9992,PASS,89.65,63.1,OOD_REJECTED,Healthy,62.57,70b4becce89217357a5c6743b26c7f5d605cb0163fe3f03377cbe549f3d7a4e4,d733efd295d95d33545895ac5910c850
CAL-CAND-021,crop_Healthy Leaf00164.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Healthy,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,680x680,188.43,0.9999,PASS,76.37,63.1,OOD_REJECTED,Healthy,76.2,b41314a886acf8afc5c15e007b495bf7b19e3c9fef32e37940d82e0784986545,068c8e829843bfab9474e83b64be9c2c
CAL-CAND-022,crop_Healthy Leaf00174.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Healthy,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,680x680,149.2,0.9989,PASS,88.38,63.1,OOD_REJECTED,Healthy,79.58,4c013de4c0e308adb9177c0ad2d2e33155ea580ad6efd37a34df394fa8f8bcf2,91016a371078f932da5f48a34a273582
CAL-CAND-023,crop_Healthy Leaf00189.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Healthy,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,680x680,156.06,0.9997,PASS,88.33,63.1,OOD_REJECTED,Healthy,74.96,de19eabd7a36e654e816a93fbb4fd0cb7a5f931da636f91e3ceb88d9067ded3b,b3077375e93c45e4c496e84b5fec7f63
CAL-CAND-024,crop_Healthy Leaf00190.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Healthy,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,680x680,133.34,0.9996,PASS,83.0,63.1,OOD_REJECTED,Healthy,41.78,6fc6db8793aced802c8b9fd119335af67b42e45bf93a53aabb98f4c5c7353044,f4790aa79bc29ad4bc3dbf56acd778fe
CAL-CAND-025,crop_Healthy Leaf00195.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Healthy,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,680x680,151.14,0.9998,PASS,88.22,63.1,OOD_REJECTED,Healthy,69.85,83344f5c7903a6ab250067f51eb653e947eafc636c94742ee249e6798cb7d3fa,4ead77d8092aec2a6a46b4a7ab91d3b9
CAL-CAND-026,crop_Leaf Blotch00002.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Blotch,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,650x650,189.27,0.9982,PASS,92.22,63.1,OOD_REJECTED,Healthy,56.05,f4b3adfe9634b6bdbbd5cbea83458d8a6b3815b5cd92c7ed735774bcb08fb0d9,d5b3b49e2b5044fb2346589757ec585b
CAL-CAND-027,crop_Leaf Blotch00024.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Blotch,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,650x650,155.21,1.0,PASS,87.8,63.1,OOD_REJECTED,Healthy,62.53,8fcc2a09bd2603a49d55a1fb3e872904eded9eb82ea87c446518de0edd2c5c6b,96aab89ec2e6d5ab6feb32b0db030928
CAL-CAND-028,crop_Leaf Blotch00025.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Blotch,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,620x620,123.3,0.9999,PASS,74.76,63.1,OOD_REJECTED,Blotch,62.01,7c3db42fda638a6cd3fd2a4d590871a2e3731f43608a89be2ab83dca6277ce9b,28b773a1a824461abfe6a071e8aeaeac
CAL-CAND-029,crop_Leaf Blotch00027.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Blotch,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,650x650,169.23,0.9993,PASS,79.96,63.1,OOD_REJECTED,Blotch,46.57,cf938df6f4de9057723d9280f8c8328fb858ea347486387d3b61162e697162a7,8c42e704105c3b711461e4163bfdbc58
CAL-CAND-030,crop_Leaf Blotch00040.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Blotch,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,650x650,216.9,0.2615,REJECT,84.77,63.1,OOD_REJECTED,Healthy,50.4,fe6d9d4459cfc01a79c800f5a5400ee8c027ba96276c222a4cead4425c215d2b,ec5427531e98caa74d85a74f0bfb6f0d
CAL-CAND-031,crop_Leaf Blotch00041.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Blotch,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,650x650,213.17,0.5867,PASS,90.55,63.1,OOD_REJECTED,Healthy,39.61,5e247bc2643e2bca66521cc64ce534e5e9a9068d4eaa3e26bc3fd7ea734d7016,ee781772c83c1f18a685a747c84dfea4
CAL-CAND-032,crop_Leaf Blotch00056.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Blotch,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,650x650,205.96,0.9,PASS,86.81,63.1,OOD_REJECTED,Healthy,59.19,4c8cb26cf1a8b8ee34dec4928377011b8212898d8cef266ce0d9d2f8f27c117d,b3b1a171445156939a675511ca8771b8
CAL-CAND-033,crop_Leaf Blotch00057.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Blotch,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,650x650,248.07,0.8759,PASS,95.66,63.1,OOD_REJECTED,Healthy,58.79,31dcbdfc4fb0bf3694d7fc7bdd2b7e31eb02d2404f4178f02d1ce89e41254be4,f82fe8e63f63d7fedf24f7eab77c6e02
CAL-CAND-034,crop_Leaf Blotch00072.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Blotch,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,650x650,191.5,0.9879,PASS,98.3,63.1,OOD_REJECTED,Healthy,63.92,eaf596392107d02bd76f829aec9bd89627d06497eb6d0827393821c77a8b19cd,01231dd9801edb06dca279acd0553c4d
CAL-CAND-035,crop_Leaf Blotch00087.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Blotch,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,650x650,236.13,0.709,PASS,78.66,63.1,OOD_REJECTED,Healthy,30.41,3f281381666ad36b0c34c53a53eeffd491fc61ed200b1cef2980c34116dafcd9,c8e84d2c73cf03eb21c18404be8a7f4e
CAL-CAND-036,crop_Leaf Blotch00088.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Blotch,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,650x650,212.17,0.4927,REJECT,88.61,63.1,OOD_REJECTED,Healthy,32.63,2ec225eba8422d090a4b92c7dbb8869389ce18336e94fdce312c0879224cd265,ca14bab4ce46182d56fb2da9d840e85f
CAL-CAND-037,crop_Leaf Blotch00089.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Blotch,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,650x650,220.38,0.7036,PASS,93.31,63.1,OOD_REJECTED,Healthy,43.13,4bbeed7ac494980735394575249c35641dcf9bf2314c49f81a7fe61ca74c4ac8,81e361b79463f61029fe3f3ed55830bd
CAL-CAND-038,crop_Leaf Blotch00092.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Blotch,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,650x650,222.17,0.8327,PASS,78.7,63.1,OOD_REJECTED,Blotch,43.07,a87bfac508b1b116ed4989e8703e99e720ded081d821a515943d9e462eed3a85,7eb6d6f02c18d7cffe62f0c8df1bbba1
CAL-CAND-039,crop_Leaf Blotch00098.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Blotch,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,650x650,153.0,0.4365,REJECT,91.35,63.1,OOD_REJECTED,Healthy,46.82,8e7df21f17ec6d500942b5d00454195ab161897b13787146394ff203dd317269,f7259eefcc57464707501d9789008db2
CAL-CAND-040,crop_Leaf Blotch00108.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Blotch,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,650x650,203.67,0.646,PASS,81.48,63.1,OOD_REJECTED,Healthy,30.16,09dccfaf5d48b343fdc3d5f376fb94e80c02f2e329df4b6dcbd6fc830415211a,d761bc18f3cdf2f388c8225d9515f73e
CAL-CAND-041,crop_Leaf Blotch00109.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Blotch,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,650x650,187.87,0.9983,PASS,88.55,63.1,OOD_REJECTED,Leaf Spot,29.88,62a7c86157276a4bd94a58ca1c320d5ef165309d25f95f635e2b3b2ad49dee71,7f65e22d7f56f38fe44c07fc1079b557
CAL-CAND-042,crop_Leaf Blotch00115.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Blotch,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,650x650,192.28,0.8766,PASS,94.48,63.1,OOD_REJECTED,Healthy,42.15,2c1eac423c743b030ef3d455d2d2ff4ef93b608402e2ca8d4973fe740846f952,7ad915354a91a16a4c8d048a4aed9a12
CAL-CAND-043,crop_Leaf Blotch00140.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Blotch,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,650x650,240.37,0.7427,PASS,83.24,63.1,OOD_REJECTED,Healthy,46.79,91fb373eb8263f6102ae3c1d625a1e60bf8999f777f95517067a3ed6dc6a54bb,74b6aad106950390dc647bc93a2bb750
CAL-CAND-044,crop_Leaf Blotch00151.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Blotch,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,650x650,189.69,0.932,PASS,79.57,63.1,OOD_REJECTED,Healthy,37.27,08c8817b099b4348c78a9f2cd409b9f48648c2ba494995cab59c3e62bfa1ad32,aa1681c55bb8699bfe67ea93ba91ab06
CAL-CAND-045,crop_Leaf Blotch00155.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Blotch,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,650x650,212.18,0.2133,REJECT,82.07,63.1,OOD_REJECTED,Healthy,33.48,3b69ab519ef04f5dde46f8ee3f130ff9b6ee596a9cb35c06477319ca1e400614,a91f88cfb9f572d578ea25a72f85c336
CAL-CAND-046,crop_Leaf Blotch00167.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Blotch,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,650x650,221.1,0.8814,PASS,90.28,63.1,OOD_REJECTED,Healthy,59.02,245c62554ee125530731ed9c031e9169e73ac9ab2c107600418cfb8485ff6a63,8d797ceb8e860a4b7954c309e0e39d28
CAL-CAND-047,crop_Leaf Blotch00179.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Blotch,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,650x650,214.91,0.9434,PASS,89.09,63.1,OOD_REJECTED,Healthy,38.12,becd4a8bdcfbab8031b2cf1938c20529398ac55d7507a34a2a2d58712f98ac2d,a7fc25833af82a3defa072a9ed43905c
CAL-CAND-048,crop_Leaf Blotch00180.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Blotch,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,650x650,202.44,0.9891,PASS,100.54,63.1,OOD_REJECTED,Healthy,52.72,fa24eceac203f127739c96e6613c42a244e9ec143d601778e81e9e49bfa56199,52344fb64a2d0dc6b834c312eb049b01
CAL-CAND-049,crop_Leaf Blotch00184.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Blotch,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,650x650,169.01,0.9741,PASS,81.27,63.1,OOD_REJECTED,Healthy,39.17,0e95c89d442aaaa91753a5345691d22e9e0f77ff8e91f5168b1418ffb935fd6d,cb0f546b0f581ebd2fe89ef437126ce0
CAL-CAND-050,crop_Leaf Blotch00191.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Blotch,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,650x650,200.75,0.8992,PASS,94.02,63.1,OOD_REJECTED,Healthy,35.66,61a1cc819287e46420ad86494957d9eab9df06b45ea12abf4a0dc28c778488f0,152216f34bc5918fc4e31c53700aa416
CAL-CAND-051,Healthy Leaf00001.JPG,Dataset 02 (Mendeley Raw Field Photos),Dataset 02 Raw Canopy,Healthy,source_metadata_label,False,NONE (0% OVERLAP),Field Domain Stress Test (N=27),UNSUITABLE_WIDE_CANOPY,1000x1000,212.22,1.0,PASS,86.59,63.1,OOD_REJECTED,Healthy,72.75,deb5ffe72b5f7747673a6c496d7804c5b494f4dae802379b174cdf981c45463e,8a34836f2778d063a4c80709e6f201a4
CAL-CAND-052,Healthy Leaf00022.JPG,Dataset 02 (Mendeley Raw Field Photos),Dataset 02 Raw Canopy,Healthy,source_metadata_label,False,NONE (0% OVERLAP),Field Domain Stress Test (N=27),UNSUITABLE_WIDE_CANOPY,1000x1000,277.13,1.0,PASS,67.17,63.1,OOD_REJECTED,Healthy,86.13,d8be99c09abc0e65ad83fb5cc68dfb69ac5474385fca7cc854ef8835a5b04f88,4e30cc95328eb3384d395080bf8a6e63
CAL-CAND-053,Healthy Leaf00044.JPG,Dataset 02 (Mendeley Raw Field Photos),Dataset 02 Raw Canopy,Healthy,source_metadata_label,False,NONE (0% OVERLAP),Field Domain Stress Test (N=27),UNSUITABLE_WIDE_CANOPY,1000x1000,192.23,0.9999,PASS,80.04,63.1,OOD_REJECTED,Healthy,35.28,85f359b6d7ed3fe975c1b2572dded0dd7488db031a8711141188079fa9fd9314,7fbf3ad6e1ea13303abcf35f770ba24e
CAL-CAND-054,Healthy Leaf00065.JPG,Dataset 02 (Mendeley Raw Field Photos),Dataset 02 Raw Canopy,Healthy,source_metadata_label,False,NONE (0% OVERLAP),Field Domain Stress Test (N=27),UNSUITABLE_WIDE_CANOPY,1000x1000,313.66,1.0,PASS,79.98,63.1,OOD_REJECTED,Healthy,67.48,28236f024f18074ce9cd21ff34cb3390f7f45494be25ceda51a0cbe3aa151dda,8d93174214365ebbf4eaacd8316e7f85
CAL-CAND-055,Healthy Leaf00087.JPG,Dataset 02 (Mendeley Raw Field Photos),Dataset 02 Raw Canopy,Healthy,source_metadata_label,False,NONE (0% OVERLAP),Field Domain Stress Test (N=27),UNSUITABLE_WIDE_CANOPY,1000x1000,248.92,0.9986,PASS,88.62,63.1,OOD_REJECTED,Healthy,53.31,5b40a4027fe638f6364a7ff3e4181e5afdbbe8aced836b00912612605e81b46d,45c8439eaf490a21922cc5b2456e7392
CAL-CAND-056,Healthy Leaf00108.JPG,Dataset 02 (Mendeley Raw Field Photos),Dataset 02 Raw Canopy,Healthy,source_metadata_label,False,NONE (0% OVERLAP),Field Domain Stress Test (N=27),UNSUITABLE_WIDE_CANOPY,1000x1000,238.23,1.0,PASS,89.53,63.1,OOD_REJECTED,Healthy,82.38,bcbc5c254b0923c374a1f02371427c186229418f88258d477567fe1d8e110447,f3a8c4e9d76bb1a8f6340ea079e1a1b5
CAL-CAND-057,Healthy Leaf00130.JPG,Dataset 02 (Mendeley Raw Field Photos),Dataset 02 Raw Canopy,Healthy,source_metadata_label,False,NONE (0% OVERLAP),Field Domain Stress Test (N=27),UNSUITABLE_WIDE_CANOPY,1000x1000,266.51,1.0,PASS,80.32,63.1,OOD_REJECTED,Healthy,77.35,8dd15d6d930de2e7c23cf855742b0974f0f64fb82a49cbb5dc9515cb77bf6833,c54c4f805dc390dfc4f8b110dfd6c8c3
